filename,strain,medium,relative_path
BW25113_5um_stack1.tif,BW25113,LB,LB\BW25113\BW25113_5um_stack1.tif
BW25113_5um_stack2.tif,BW25113,LB,LB\BW25113\BW25113_5um_stack2.tif
BW25113_5um_stack3.tif,BW25113,LB,LB\BW25113\BW25113_5um_stack3.tif
BW25113_5um_stack4.tif,BW25113,LB,LB\BW25113\BW25113_5um_stack4.tif
BW25113_5um_stack5.tif,BW25113,LB,LB\BW25113\BW25113_5um_stack5.tif
BW25113_amiA_5um_stack1.tif,amiA,LB,LB\BW25113 amiA\BW25113_amiA_5um_stack1.tif
BW25113_amiA_5um_stack2.tif,amiA,LB,LB\BW25113 amiA\BW25113_amiA_5um_stack2.tif
BW25113_amiA_5um_stack3.tif,amiA,LB,LB\BW25113 amiA\BW25113_amiA_5um_stack3.tif
BW25113_amiA_5um_stack4.tif,amiA,LB,LB\BW25113 amiA\BW25113_amiA_5um_stack4.tif
BW25113_amiA_5um_stack5.tif,amiA,LB,LB\BW25113 amiA\BW25113_amiA_5um_stack5.tif
BW25113_ompR_5um_stack1.tif,ompR,LB,LB\BW25113 ompR\BW25113_ompR_5um_stack1.tif
BW25113_ompR_5um_stack2.tif,ompR,LB,LB\BW25113 ompR\BW25113_ompR_5um_stack2.tif
BW25113_ompR_5um_stack3.tif,ompR,LB,LB\BW25113 ompR\BW25113_ompR_5um_stack3.tif
BW25113_ompR_5um_stack4.tif,ompR,LB,LB\BW25113 ompR\BW25113_ompR_5um_stack4.tif
BW25113_ompR_5um_stack5.tif,ompR,LB,LB\BW25113 ompR\BW25113_ompR_5um_stack5.tif
BW25113_ydgD_5um_stack1.tif,ydgD,LB,LB\BW25113 ydgD\BW25113_ydgD_5um_stack1.tif
BW25113_ydgD_5um_stack2.tif,ydgD,LB,LB\BW25113 ydgD\BW25113_ydgD_5um_stack2.tif
BW25113_ydgD_5um_stack3.tif,ydgD,LB,LB\BW25113 ydgD\BW25113_ydgD_5um_stack3.tif
BW25113_ydgD_5um_stack4.tif,ydgD,LB,LB\BW25113 ydgD\BW25113_ydgD_5um_stack4.tif
BW25113_ydgD_5um_stack5.tif,ydgD,LB,LB\BW25113 ydgD\BW25113_ydgD_5um_stack5.tif
BW25113_5um_stack1.tif,BW25113,M9,M9\BW25113\BW25113_5um_stack1.tif
BW25113_5um_stack2.tif,BW25113,M9,M9\BW25113\BW25113_5um_stack2.tif
BW25113_5um_stack3.tif,BW25113,M9,M9\BW25113\BW25113_5um_stack3.tif
BW25113_5um_stack4.tif,BW25113,M9,M9\BW25113\BW25113_5um_stack4.tif
BW25113_5um_stack5.tif,BW25113,M9,M9\BW25113\BW25113_5um_stack5.tif
BW25113_amiA_5um_stack1.tif,amiA,M9,M9\BW25113 amiA\BW25113_amiA_5um_stack1.tif
BW25113_amiA_5um_stack2.tif,amiA,M9,M9\BW25113 amiA\BW25113_amiA_5um_stack2.tif
BW25113_amiA_5um_stack3.tif,amiA,M9,M9\BW25113 amiA\BW25113_amiA_5um_stack3.tif
BW25113_amiA_5um_stack4.tif,amiA,M9,M9\BW25113 amiA\BW25113_amiA_5um_stack4.tif
BW25113_amiA_5um_stack5.tif,amiA,M9,M9\BW25113 amiA\BW25113_amiA_5um_stack5.tif
BW25113_ompR_5um_stack1.tif,ompR,M9,M9\BW25113 ompR\BW25113_ompR_5um_stack1.tif
BW25113_ompR_5um_stack2.tif,ompR,M9,M9\BW25113 ompR\BW25113_ompR_5um_stack2.tif
BW25113_ompR_5um_stack3.tif,ompR,M9,M9\BW25113 ompR\BW25113_ompR_5um_stack3.tif
BW25113_ompR_5um_stack4.tif,ompR,M9,M9\BW25113 ompR\BW25113_ompR_5um_stack4.tif
BW25113_ompR_5um_stack5.tif,ompR,M9,M9\BW25113 ompR\BW25113_ompR_5um_stack5.tif
BW25113_ydgD_5um_stack1.tif,ydgD,M9,M9\BW25113 ydgD\BW25113_ydgD_5um_stack1.tif
BW25113_ydgD_5um_stack2.tif,ydgD,M9,M9\BW25113 ydgD\BW25113_ydgD_5um_stack2.tif
BW25113_ydgD_5um_stack3.tif,ydgD,M9,M9\BW25113 ydgD\BW25113_ydgD_5um_stack3.tif
BW25113_ydgD_5um_stack4.tif,ydgD,M9,M9\BW25113 ydgD\BW25113_ydgD_5um_stack4.tif
BW25113_ydgD_5um_stack5.tif,ydgD,M9,M9\BW25113 ydgD\BW25113_ydgD_5um_stack5.tif
